Airport Code,Latitude,Longitude
YCB,69.116667,-105.133333
YKD,44.201389,-81.606667
UPF,48.9,8.7
IXB,26.733333000000000,88.333333
IMK,29.966667,81.833333
KCJ,-7.216667,143.6
KUX,38.471667,126.0375
UIK,58.133333,102.55
HNL,21.333333,-157.933333
LBL,37.05,-100.966667
BGR,44.8,-68.816667
BAZ,-0.966943999999999,-62.933611
CAW,-21.75,-41.3
ZTB,50.7,-59.333333
HCM,8.0,49.925
LAK,68.216667,-135.0
ZLT,51.0,-59.0
YOW,45.3225,-75.669167
PKU,0.460833,101.444444
LPQ,19.9,102.15
RUK,28.95,82.266667
CWI,41.833333,-90.35
NGN,9.066667,-78.016667
VST,59.589444,16.633611
EGP,28.866667,-100.533333
HID,-10.536667,142.29
LPB,-16.513333,-68.192222
SQL,37.483333,-122.25
SXY,42.316667,-75.4
TMJ,37.224167,67.278333
THU,76.547778,-68.842778
SAP,15.452778,-87.923611
YBV,52.433333,-97.033333
RAI,14.925278,-23.503056
NNG,22.783333,108.0
PVO,-1.034167,-80.467222
SBU,-29.683333,17.95
PBM,5.452778,-55.187778
HYC,51.633333,-0.766667
ZSH,1.366667,-77.033333
DIN,21.383333,103.016667
YLT,82.516667,-62.283333
ZQS,53.0,-132.0
MIX,-1.133333,-70.25
BRQ,49.151389,16.694444
SCD,14.925,-87.258333
IXJ,32.683333,74.833333
IHR,35.614444,51.311389
KID,55.920556,14.085278
ZBP,4.666667,-74.516667
BOW,27.933333,-81.783333
CCQ,-12.6,-38.966667
FEJ,-7.0,-36.016667
THE,-5.06,-42.823611
IXC,30.666667,76.8
DBD,23.8,86.45
ACN,29.3,-100.916667
AVK,46.266667,102.783333
GEA,-22.266667000000000,166.466667
JBP,33.986667,-118.159722
CRO,36.1,-119.55
FBD,37.083333,70.5
PHE,-20.383333,118.45
YTG,50.883333,-126.8
WUH,30.783889,114.208056
XEN,40.733333,118.616667
BGB,-0.1,11.933333
INY,-24.783333,31.383333
LAW,34.566667,-98.416667
FMG,10.416667,-85.783333
OLO,49.416667,17.341667
KXU,-16.433333,-1.366667
SPM,49.983333,6.683333
ECA,44.266667,-83.483333
PVD,41.733333,-71.433333
LBM,-18.4,36.1
YAT,52.927778,-82.431389
YWF,44.65,-63.6
ZPB,53.816667,-92.133333
AEH,13.85,20.85
HME,31.666667,6.15
KKJ,33.845556,131.035
VNO,54.633333,25.283333
GBS,-36.183333,175.333333
MQO,13.25,6.75
NRR,51.5,4.5
KLZ,-29.683333,17.066667
EDW,34.9,-117.883333
MQX,13.466667,39.516667
PKY,-2.216667,113.933333
CBI,-31.983333,132.15
CMH,40.0,-82.883333
POY,44.866667,-108.8
UPC,28.4,-16.55
CHT,-43.916667,176.5
MJJ,-5.7,145.25
POJ,40.683333,19.65
YIF,51.216667,-58.666667
YRR,50.416667,-125.166667
LTL,-0.833333,12.716667
OMK,48.4,-119.533333
KEB,59.366667,-151.916667
TEK,41.633333,24.95
RRA,36.733333,-5.166667
GBD,38.35,-98.866667
FYM,35.15,-86.583333
VDM,-40.85,-63.016667
KYK,57.566667,-154.416667
KLW,55.55,-133.1
NGR,-5.666667,141.116667
NAZ,-10.783333,162.3
MZG,23.533333,119.583333
GWE,-19.45,29.816667
MJU,-2.683333,118.9
BCZ,-13.783333,137.8
GPN,-11.4,130.433333
VCP,-23.0075,-47.134444
ROU,43.833333,25.983333
YGV,50.25,-63.583333
KAD,10.6,7.45
SUB,-7.379722,112.786944
MWK,3.348056,106.258056
IVG,42.833333,19.85
LSH,22.966667,97.75
RKU,-8.816667,146.516667
PPX,-9.995833,149.591667
EML,47.0925,8.305
SNO,17.15,104.133333
LTH,36.666667,-116.65
KKW,-5.416667,18.95
